,full,long,lat,order,hole,piece,group,fips,abbr,V2,State,Median_IBU,l_state
303,Alaska,-1467928.66,-1710572.194,249,FALSE,1,2.1,2,AK,AK, AK,46,alaska
304,Alaska,-1468653.717,-1710020.88,250,FALSE,1,2.1,2,AK,AK, AK,46,alaska
305,Alaska,-1473186.05,-1706546.868,251,FALSE,1,2.1,2,AK,AK, AK,46,alaska
306,Alaska,-1476137.729,-1705131.408,252,FALSE,1,2.1,2,AK,AK, AK,46,alaska
307,Alaska,-1477644.337,-1703321.991,253,FALSE,1,2.1,2,AK,AK, AK,46,alaska
308,Alaska,-1478982.238,-1698957.416,254,FALSE,1,2.1,2,AK,AK, AK,46,alaska
309,Alaska,-1482209.355,-1694968.141,255,FALSE,1,2.1,2,AK,AK, AK,46,alaska
310,Alaska,-1486647.891,-1691998.759,256,FALSE,1,2.1,2,AK,AK, AK,46,alaska
311,Alaska,-1490561.478,-1691217.713,257,FALSE,1,2.1,2,AK,AK, AK,46,alaska
312,Alaska,-1485946.969,-1688357.148,258,FALSE,1,2.1,2,AK,AK, AK,46,alaska
313,Alaska,-1481322.135,-1687128.749,259,FALSE,1,2.1,2,AK,AK, AK,46,alaska
314,Alaska,-1479983.416,-1683212.092,260,FALSE,1,2.1,2,AK,AK, AK,46,alaska
315,Alaska,-1478414.138,-1678624.05,261,FALSE,1,2.1,2,AK,AK, AK,46,alaska
316,Alaska,-1476972.776,-1672958.42,262,FALSE,1,2.1,2,AK,AK, AK,46,alaska
317,Alaska,-1476364.023,-1665422.032,263,FALSE,1,2.1,2,AK,AK, AK,46,alaska
318,Alaska,-1471532.277,-1666355.509,264,FALSE,1,2.1,2,AK,AK, AK,46,alaska
319,Alaska,-1465109.873,-1667880.07,265,FALSE,1,2.1,2,AK,AK, AK,46,alaska
320,Alaska,-1455906.32,-1667635.983,266,FALSE,1,2.1,2,AK,AK, AK,46,alaska
321,Alaska,-1448514.939,-1666699.538,267,FALSE,1,2.1,2,AK,AK, AK,46,alaska
322,Alaska,-1443982.614,-1666529.238,268,FALSE,1,2.1,2,AK,AK, AK,46,alaska
323,Alaska,-1438260.161,-1663525.886,269,FALSE,1,2.1,2,AK,AK, AK,46,alaska
324,Alaska,-1431822.681,-1657808.777,270,FALSE,1,2.1,2,AK,AK, AK,46,alaska
325,Alaska,-1425488.188,-1649025.503,271,FALSE,1,2.1,2,AK,AK, AK,46,alaska
326,Alaska,-1423302.27,-1642828.545,272,FALSE,1,2.1,2,AK,AK, AK,46,alaska
327,Alaska,-1422275.991,-1633530.591,273,FALSE,1,2.1,2,AK,AK, AK,46,alaska
